,number,value,depth,x,y,z,behaviour,type,place
0,1,1,0.81,0.564,0.17600000000000002,-0.40399999999999997,2,0,0
1,1,1,0.81,-1.216,-0.588,-0.027999999999999997,2,0,0
2,1,1,0.78,-0.868,-0.49200000000000005,-0.18,2,0,0
3,1,1,0.78,-1.328,-0.6679999999999999,-0.34,2,0,0
4,1,1,0.81,-1.204,0.044000000000000004,0.14800000000000002,2,0,0
5,1,1,0.84,-1.452,0.46799999999999997,0.78,2,0,0
6,1,1,0.84,-0.9640000000000001,-0.048,1.028,2,0,0
7,1,1,0.96,-1.464,0.436,0.948,2,0,0
8,1,1,1.06,-0.8640000000000001,0.35600000000000004,1.3119999999999998,2,0,0
9,1,1,1.15,-0.5760000000000001,0.424,1.56,2,0,0
10,1,1,1.25,-0.58,0.244,1.6159999999999999,2,0,0
11,1,1,1.37,-0.016,-0.14400000000000002,1.932,2,0,0
12,1,1,1.34,0.28800000000000003,-0.027999999999999997,1.964,2,0,0
13,1,1,1.25,-0.132,0.26,1.584,2,0,0
14,1,1,1.18,-0.11599999999999999,0.08800000000000001,1.328,2,0,0
15,1,1,1.18,-0.076,-0.252,1.012,2,0,0
16,1,1,1.21,-0.128,-0.06,1.06,2,0,0
17,1,1,1.18,-0.08800000000000001,-0.012,1.024,2,0,0
18,1,2,1.18,-0.23600000000000002,-0.08,1.0,7,1,0
19,1,2,1.15,-0.184,-0.204,1.044,7,1,0
20,1,2,1.18,-0.14400000000000002,-0.184,0.9159999999999999,7,1,0
21,1,2,1.18,-0.055999999999999994,-0.06,1.1520000000000001,7,1,0
22,1,2,1.15,-0.044000000000000004,0.12,1.068,7,1,0
23,1,2,1.12,0.08800000000000001,0.128,1.012,7,1,0
24,1,2,1.12,0.04,-0.092,0.9,7,1,0
25,1,2,1.12,0.012,-0.02,0.94,7,1,0
26,1,2,1.06,0.0,0.027999999999999997,0.892,7,1,0
27,1,2,1.09,0.008,-0.027999999999999997,0.9159999999999999,7,1,0
28,1,2,1.06,0.032,-0.012,0.8640000000000001,7,1,0
29,1,2,1.06,0.02,-0.024,0.892,7,1,0
30,1,2,1.03,0.02,-0.07200000000000001,0.872,7,1,0
31,1,2,1.03,0.004,0.008,0.9640000000000001,7,1,0
32,1,2,1.0,-0.004,0.032,0.996,7,1,0
33,1,2,1.0,-0.004,-0.032,0.96,7,1,0
34,1,2,1.0,-0.14400000000000002,-0.016,0.8640000000000001,7,1,0
35,1,2,1.0,-0.14800000000000002,0.04,0.836,7,1,0
36,1,2,1.0,-0.2,0.064,0.8,7,1,0
37,1,2,1.0,-0.14,0.064,0.8079999999999999,7,1,0
